client_fund_id,client_id,fund_id,amount_invested_in_fund,date_invested
1024_17990872,1024,17990872,1696.5257097960803,10/10/2022
1024_35373597,1024,35373597,1953.2547191062376,28/10/2022
1024_65479469,1024,65479469,2723.256698753177,02/11/2022
1024_69007006,1024,69007006,441.47855906024705,01/12/2022
1024_64746348,1024,64746348,1514.043407936433,06/12/2022
1024_27561672,1024,27561672,2212.3249337896873,19/12/2022
1024_76359079,1024,76359079,3433.0219768690126,14/01/2023
1024_98760799,1024,98760799,3348.277698141669,09/02/2023
1024_40101706,1024,40101706,1829.0406606209624,25/02/2023
1024_35172614,1024,35172614,2917.672293737829,26/02/2023
1024_95972425,1024,95972425,825.716947905903,25/03/2023
1024_94710676,1024,94710676,2904.685348879602,10/04/2023
1024_41229437,1024,41229437,194.01425490179963,01/05/2023
1024_40987651,1024,40987651,1158.215715876131,28/05/2023
1024_36548480,1024,36548480,1290.693263398993,08/06/2023
1024_73363229,1024,73363229,447.4174061943733,07/07/2023
1025_44459913,1025,44459913,1406.3733869910375,06/08/2022
1025_11726159,1025,11726159,2123.8692785958756,25/08/2022
1025_73110676,1025,73110676,1577.5112589602004,06/09/2022
1025_96555478,1025,96555478,2081.3350745212215,08/09/2022
1025_43224861,1025,43224861,110.74311663582802,15/09/2022
1025_65479469,1025,65479469,1350.7408368135132,18/09/2022
1025_10343778,1025,10343778,4692.574759700144,08/10/2022
1025_85264831,1025,85264831,1.7299312783641598,15/10/2022
1025_30083558,1025,30083558,5101.722685719391,24/10/2022
1025_33478362,1025,33478362,4531.708222940317,20/11/2022
1025_40101706,1025,40101706,1840.6795477880048,22/11/2022
1025_76359079,1025,76359079,4470.576776777348,10/12/2022
1025_76027957,1025,76027957,2786.549625319119,09/01/2023
1025_70534354,1025,70534354,2476.96943229125,26/01/2023
1025_15753539,1025,15753539,3393.8610674515753,14/02/2023
1025_24137221,1025,24137221,5442.97631928026,06/03/2023
1025_42636156,1025,42636156,2188.958847016084,13/03/2023
1025_91054577,1025,91054577,4454.349466678019,07/04/2023
1025_64085982,1025,64085982,2261.5005032004024,16/04/2023
1025_98760799,1025,98760799,1359.634548287064,23/04/2023
1025_72997430,1025,72997430,5467.265335858302,10/05/2023
1025_34526288,1025,34526288,4990.93806820836,12/05/2023
1025_23755140,1025,23755140,6169.4952761623,04/06/2023
1025_76486840,1025,76486840,884.7870682755553,26/06/2023
1025_35172614,1025,35172614,3204.9893929000004,30/06/2023
1026_33740742,1026,33740742,41542.77355464145,25/09/2022
1026_34526288,1026,34526288,55463.27137535856,02/10/2022
1027_22675579,1027,22675579,1036.1131870427728,17/07/2022
1027_76359079,1027,76359079,1792.750140613197,15/08/2022
1027_98866743,1027,98866743,1831.6654252830413,22/08/2022
1027_42636156,1027,42636156,1133.5616847579613,01/09/2022
1027_69007006,1027,69007006,537.8222897099454,25/09/2022
1027_85253961,1027,85253961,353.0391472707189,16/10/2022
1027_98704577,1027,98704577,1364.851931076193,20/10/2022
1027_94710676,1027,94710676,1486.199172708521,09/11/2022
1027_96555478,1027,96555478,1825.4155094613159,07/12/2022
1027_79502565,1027,79502565,238.7546904213415,21/12/2022
1027_71048022,1027,71048022,784.3507735025773,24/12/2022
