Fund_ID,Date,Fund_BPS_Rate,Value
63963,03/04/2018,1.26,96.84975233
16792,03/04/2018,1.38,97.94788684
88569,03/04/2018,0.79,102.1889658
22757,03/04/2018,0.8,104.1338226
99779,03/04/2018,1.07,95.69089486
22778,03/04/2018,0.71,104.2730355
89791,03/04/2018,1.25,96.16873635
20062,03/04/2018,0.69,97.12595866
71151,03/04/2018,1.12,101.2415673
75596,03/04/2018,0.66,103.9505549
63963,04/04/2018,1.26,97.28078518
16792,04/04/2018,1.38,99.46025118
88569,04/04/2018,0.79,95.74333673
22757,04/04/2018,0.8,96.50570193
99779,04/04/2018,1.07,100.7337402
22778,04/04/2018,0.71,104.8421483
89791,04/04/2018,1.25,104.4085519
20062,04/04/2018,0.69,102.7442791
71151,04/04/2018,1.12,100.4883133
75596,04/04/2018,0.66,100.331449
63963,05/04/2018,1.26,104.6369254
16792,05/04/2018,1.38,103.4930427
88569,05/04/2018,0.79,98.35737581
22757,05/04/2018,0.8,104.2948505
99779,05/04/2018,1.07,98.92125236
22778,05/04/2018,0.71,103.6696383
89791,05/04/2018,1.25,103.7863926
20062,05/04/2018,0.69,104.2351162
71151,05/04/2018,1.12,98.72971607
75596,05/04/2018,0.66,100.4651498
63963,06/04/2018,1.26,100.943628
16792,06/04/2018,1.38,96.0622673
88569,06/04/2018,0.79,97.75672092
22757,06/04/2018,0.8,102.6206717
99779,06/04/2018,1.07,98.82718077
22778,06/04/2018,0.71,95.25012179
89791,06/04/2018,1.25,95.70206628
20062,06/04/2018,0.69,104.328442
71151,06/04/2018,1.12,95.72657207
75596,06/04/2018,0.66,104.3989089
63963,07/04/2018,1.26,95.85978741
16792,07/04/2018,1.38,101.1347704
88569,07/04/2018,0.79,100.7130989
22757,07/04/2018,0.8,95.23497547
99779,07/04/2018,1.07,103.6996329
22778,07/04/2018,0.71,104.8363721
89791,07/04/2018,1.25,104.7812705
20062,07/04/2018,0.69,98.91379565
71151,07/04/2018,1.12,101.7123248
75596,07/04/2018,0.66,96.78764686
63963,08/04/2018,1.26,96.60268373
16792,08/04/2018,1.38,95.40617289
88569,08/04/2018,0.79,103.3402308
22757,08/04/2018,0.8,96.27482624
99779,08/04/2018,1.07,98.74392886
22778,08/04/2018,0.71,102.2018865
89791,08/04/2018,1.25,98.03955496
20062,08/04/2018,0.69,97.35279814
71151,08/04/2018,1.12,104.9935422
75596,08/04/2018,0.66,104.5796988
63963,09/04/2018,1.26,98.33989123
16792,09/04/2018,1.38,101.3494504
88569,09/04/2018,0.79,102.7142861
22757,09/04/2018,0.8,103.1254376
99779,09/04/2018,1.07,103.5931055
22778,09/04/2018,0.71,104.476452
89791,09/04/2018,1.25,104.2196829
20062,09/04/2018,0.69,100.8496842
71151,09/04/2018,1.12,104.4522403
75596,09/04/2018,0.66,100.4181373
63963,10/04/2018,1.26,97.0138192
16792,10/04/2018,1.38,100.2605713
88569,10/04/2018,0.79,99.4277123
22757,10/04/2018,0.8,104.6551055
99779,10/04/2018,1.07,96.52063532
22778,10/04/2018,0.71,95.5016998
89791,10/04/2018,1.25,99.3083
20062,10/04/2018,0.69,102.7159559
71151,10/04/2018,1.12,95.37412588
75596,10/04/2018,0.66,98.68102048
63963,11/04/2018,1.26,98.63701716
16792,11/04/2018,1.38,103.6864879
88569,11/04/2018,0.79,97.92596421
22757,11/04/2018,0.8,104.6582889
99779,11/04/2018,1.07,102.3134706
22778,11/04/2018,0.71,104.3280057
89791,11/04/2018,1.25,96.41868221
20062,11/04/2018,0.69,100.8249319
71151,11/04/2018,1.12,102.6724072
75596,11/04/2018,0.66,103.3450739
63963,12/04/2018,1.26,104.4764561
16792,12/04/2018,1.38,98.47125169
88569,12/04/2018,0.79,98.35051526
22757,12/04/2018,0.8,101.6313277
99779,12/04/2018,1.07,102.7322004
22778,12/04/2018,0.71,97.28914832
89791,12/04/2018,1.25,95.2024992
20062,12/04/2018,0.69,98.91740979
71151,12/04/2018,1.12,95.74496222
75596,12/04/2018,0.66,102.4782105
63963,13/04/2018,1.26,101.3402218
16792,13/04/2018,1.38,102.1935052
88569,13/04/2018,0.79,100.9754261
22757,13/04/2018,0.8,98.72839283
99779,13/04/2018,1.07,98.58474613
22778,13/04/2018,0.71,104.6584422
89791,13/04/2018,1.25,102.4093711
20062,13/04/2018,0.69,99.27922632
71151,13/04/2018,1.12,99.66884435
75596,13/04/2018,0.66,98.28236901
63963,14/04/2018,1.26,99.66992096
16792,14/04/2018,1.38,97.65177787
88569,14/04/2018,0.79,97.49564333
22757,14/04/2018,0.8,101.6574589
99779,14/04/2018,1.07,104.6924933
22778,14/04/2018,0.71,100.3301121
89791,14/04/2018,1.25,99.8646802
20062,14/04/2018,0.69,99.22151732
71151,14/04/2018,1.12,96.36824568
75596,14/04/2018,0.66,100.5353429
63963,15/04/2018,1.26,104.4803254
16792,15/04/2018,1.38,95.60312951
88569,15/04/2018,0.79,102.4392335
22757,15/04/2018,0.8,101.022736
99779,15/04/2018,1.07,96.83669386
22778,15/04/2018,0.71,100.6334044
89791,15/04/2018,1.25,99.01285616
20062,15/04/2018,0.69,95.47659023
71151,15/04/2018,1.12,100.4262207
75596,15/04/2018,0.66,95.16987982
63963,16/04/2018,1.26,95.45192327
16792,16/04/2018,1.38,98.12106798
88569,16/04/2018,0.79,100.9703239
22757,16/04/2018,0.8,98.01318651
99779,16/04/2018,1.07,96.64667943
22778,16/04/2018,0.71,103.9629955
89791,16/04/2018,1.25,100.2832291
20062,16/04/2018,0.69,100.4517197
71151,16/04/2018,1.12,95.14771167
75596,16/04/2018,0.66,103.9629829
